Applicant_id,pos_com_city1
541, serverhostess hostess  
543, groggys food truck  
547, none  
550, sales associate  
552, none  
554, server  
555, first grade teacher   
558, hostessserver  
559, waitress  
563, server  
565, customer service cashier  
568, accounts receivable specialist receptionist customer service rep book keeper
570, none  
573, clerk  
581, marketing director assistant  
582, bead weaving teacher  
584, representative  
587, none  
591, sales associate  
596, server  certified trainer  server  
601,medical  healthcare opportunities  united states army  agana  customer service rep server line cook
601,f intelligence analyst  army national guard  barrigada  customer service rep server line cook
601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york  customer service rep server line cook
601,toys r us express seasonal sales team member  toys r us inc  dededo  customer service rep server line cook
601,experience center associate pt  mahindra genze  palo alto  customer service rep server line cook
601,administrative support  customer service opportunities  united states army  palo alto  customer service rep server line cook
601,customer service representative  officeteam  oakland  customer service rep server line cook
601,   customer service rep server line cook
601,macys seasonal retail fitting room associate part time  newark ca  newpark mall  macys  newark  customer service rep server line cook
601,g aircraft structural repairer  army national guard  barrigada  customer service rep server line cook
601,macys seasonal retail fitting room associate part time  hayward ca  southland  macys  hayward  customer service rep server line cook
601,administrative support  customer service opportunities  united states army  palo alto  customer service rep server line cook
601,   customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,line cook  indo restaurant  lounge  palo alto  customer service rep server line cook
601,g aircraft structural repairer  army national guard  barrigada  customer service rep server line cook
601,g aircraft structural repairer  army national guard  barrigada  customer service rep server line cook
601,experience center associate pt  mahindra genze  palo alto  customer service rep server line cook
601,project manager  alternative assets  new york  customer service rep server line cook
601,line cook  indo restaurant  lounge  palo alto  customer service rep server line cook
601,associate manager  tumi inc  san francisco  customer service rep server line cook
601,temp to perm operations  hedge fund  new york  customer service rep server line cook
601,server  go go curry  midtown west  new york  customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,clo fund administrator  hedge fund  new york  customer service rep server line cook
601,toys r us express seasonal store supervisor  toys r us inc  dededo  customer service rep server line cook
601,retail sales consultant  att retail  bay area  customer service rep server line cook
601,experience center associate pt  mahindra genze  palo alto  customer service rep server line cook
601,g aircraft structural repairer  army national guard  barrigada  customer service rep server line cook
601,host  tacolicious  palo alto  customer service rep server line cook
601,immediate security openings for holiday coverage san jose region  universal protection service  palo alto  customer service rep server line cook
601,software intern  first data  palo alto  customer service rep server line cook
601,host  tacolicious  palo alto  customer service rep server line cook
601,g aircraft structural repairer  army national guard  barrigada  customer service rep server line cook
601,   customer service rep server line cook
601,dishwasher  sunrise senior living  palo alto  customer service rep server line cook
601,d field artillery tactical data system specialist  army national guard  richmond  customer service rep server line cook
601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york  customer service rep server line cook
601,driving partner  uber  san francisco  customer service rep server line cook
601,server  japadog  new york  customer service rep server line cook
601,sales  marketing startup  entry level management potential  client  personal growth  professional development  stratford  customer service rep server line cook
601,sales associate  mens  barneys new york  sunrise  customer service rep server line cook
601,dishwasher  sunrise senior living  palo alto  customer service rep server line cook
601,security officer   jobs coalition  securitas usa  barrigada  customer service rep server line cook
601,retail sales consultant  att retail  bay area  customer service rep server line cook
601,driving partner  uber  san francisco  customer service rep server line cook
601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york  customer service rep server line cook
601,oscar de la renta sales professional pt bloomingdales th street nyc  bloomingdales  new york  customer service rep server line cook
601,cashier  part time  big  sporting goods  menlo park  customer service rep server line cook
601,delivery team couriers drivers and bikers  orderahead  manhattan  customer service rep server line cook
601,driving partner  uber  san francisco  customer service rep server line cook
601,evening and weekends mens clothing sales professional pt bloomingdales th street nyc  bloomingdales  new york  customer service rep server line cook
601,   customer service rep server line cook
601,driving partner  uber  san francisco  customer service rep server line cook
601,driving partner  uber  san francisco  customer service rep server line cook
601,evening and weekends mens clothing sales professional pt bloomingdales th street nyc  bloomingdales  new york  customer service rep server line cook
601,   customer service rep server line cook
601,environmental engineering technician esh chemical  kelly engineering resources  menlo park  customer service rep server line cook
601,hriscompensation systems analyst  the ascent services group  palo alto  customer service rep server line cook
601,toys r us express seasonal sales team member  toys r us inc  dededo  customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,server  caffe riace  palo alto  customer service rep server line cook
601,line cook  indo restaurant  lounge  palo alto  customer service rep server line cook
601,communications specialist  intern  hewlettpackard  palo alto  customer service rep server line cook
601,server  tacolicious  palo alto  customer service rep server line cook
601,inventory management technician  milestone technologies  menlo park  customer service rep server line cook
601,medical records technician  officeteam  berkeley  customer service rep server line cook
601,q multichannel transmission systems operatormaintainer  army national guard  barrigada  customer service rep server line cook
601,y unit supply specialist  warehouse manager  army national guard  barrigada  customer service rep server line cook
601,b infantryman  management training  army national guard  barrigada  customer service rep server line cook
601,it logistics delivery technician  milestone technologies  menlo park  customer service rep server line cook
601,server  caffe riace  palo alto  customer service rep server line cook
606, server  
610, .........  
613, server  waitressbussercashier  
615, retail sales  alterations associate  
616, server server  
618, server  
620, server  
621, shite leader  
627, sales associateretail ordering  
631, security officer   
635, none  
637, none  
638, none  
645, parking lot attendant   
651, server  
652, statistical analyst and hr admin  
668, host  
673, medical assistant   
676, sales associate cashier.  
677, waiter  bartender   
680, hobby shop assistant counter server  
683, waiter  
687, administrative assistant  
691, mover  
697, none  
699, waitressserver receptionist  
700, cashier server  
702, none  
708, waitressserver  
719, chaplain  
728, cashier   
732, manager  
736, deli   
737, cleaningmopping the flore damping of trash waxing and sweeping and strong work ethic   
739, none  
753, busboy  
758, fountain    
759, none none  
768, workstudy  
769, none  
770, none  
772, data entry  
773, sale associate  
774, cashier  
779, busser  
780, sales man  
782, none  
785, painter  
786, cleaner   
788, crew member  
789, sales representative  
793, assistant for party planner  
796, none  
801, server  
805, barista  
808, waiter  
816, fast food kitchen   
820, logisitics  
825, cargo department  
841, field manager cashiercourtesy clerk  
844, accountant assistant  
851, volunteer   
860, none   
861, none  
864, package handler  
867, care giver electronic technician greens keeper sales agent and mail carrier driver customer service rep book keeper chef
868, cashier  
871, customer service  
877, costumer service  
879, home heath aide  
880, nursing and secretary assistant  
894, community service specialist  
909, executive director  
911, volunteer  
920, administrative assistant  
922, delivery boy summer teacher assistant  
933, none  
937, beer specialist  
938, server server host receptionist customer service rep server
943, server  
950, corporate accountant  
952, ia sub  
955, musicianteacher  
959, server host foodrunner busser  
967, receptionist  
977, none  
978, rachel aviles   
979, coordinator  
984, none  
985, none  
988, none  
991, barber  
998, food packing clerk   
999, day site supervisor  
1001, sales associate  
1003, marketing representative   
1004, sales representative  in store model  
1005, none  
1018, nurse  
1038, none  
1042, temp worker  
1043, operations clerk   
1049, cook  
1052, merchandiser  
1054, none  
1058, none  
1070, student worker  
1079, secretary  
1080, read alliance  
1097, recruiter  
1104, counselor  
1105, none   
1110, contract administrator  
1111, none  
1122, cashier  
1127, delivery boy  
1141, cashier baker  
1146, server  
1147, financial youth educator  teller  
1151, crew memeber dishwasher  
1154, waitress  
1162, supply clerk  
1166, none  
1171, waitress  
1179, child care  
1183, non  
1184, sound mixer  
1190, none  
1196, server  
1200, none  
1201, none  
1210, parttime instructor currently unemployed line cook host training community relations customer service rep server
1214, receptionist  office assistant  
1216, cleaner  
1217, server   
1218, none  
1219, principal dancer  
1229, party coach  
1231, assistant manager  
1237, seller  
1238, server  
1242, server  
1245, bartender and server  
1251,   fine arts retail parttime travel
1255, front desk  
1259, graphic designer  
1261, none  
1265, leonardo cavello senior center  
1267, cashier  
1268, menetal health residential counselor  
1269, none  
1270, none  
1271, assistance manager  
1275,    
1280, apprentice in environmental engineering  
1282, internshipvolunteer  
1283, none  
1287, cashier  
1299, none  
1300, none  
1301, office assistant  
1304, cook  
1308, commissioner menteri olahraga  
1309, registrar registrartranscript office  
1315, none  
1316, dishwasher  
1331, office assistant   
1333, clerk cashier  
1334, food clerk  
1335, none  
1342, server  greeter  
1344, ticket takerusher  
1352, none  
1359, none  
1362, none   
1366, poolside server  
1372, none  
1373, script writer  
1376, server  
1379, none   
1382, none  
1383, receptionist  
1386, none  
1388, computer assembly  
1398, none  
1399, none  
1400, activity assistant  
1403, sales associate medical records assistant  
1410, gentle giant mover  
1414, none  
1419, cashier  
1421, cashier  
1422, none  
1432, none  
1439, softrax revenue recognition specialist  
1441, serving cleaning   
1442, test  test test  test  
1444, none  
1450, office manager office manager  
1452, distributor interpreter  
1454, teachers assistant   
1457, retail sales associate  
1458, associate associate  
1460, regional sales executive inside sales  
1462, production  
1466, none  
1473, none  
1475, sales associate  
1478, food and beverage quick service  
1481, food preparer  
1487, accounts recievable clerk   
1488, attorney  
1490, bartenderhostesscashier   
1496, server  
1497, accounting  
1499, none  
1500, cashier merchandise handler  
1501, accounts payable manager  
1502, cashier  
1507, waitress intern  
1510, warehouse  
1517, none  
1520, server  
1524, assistant manager personal trainer group classes instructor floor sales stock room gymnastics coach personal trainer sales stock room  
1530, secretary  
1532, server  
1540, server   
1547, shop manager  
1548, none  
1549, shift manager  peer educator   
1552, none  
1555,    
1556, volunteer work pharmacy food service volunteer ground crew summer camp counselor  
1562, medical assistant womens practice obgyn  medical assistant cafe servercatering psr i  pediatrics  
1570, server  
1571, personal asst. to jewelery  designer  
1576, server  
1577, sales associate sales operator  
1580, personal assistant  
1592, prep   
1596, customer service  
1598, intern ad manager  
1604, cashier  
1606, none  
1607, production assistant  
1613, sales associate  
1615, nail worker cash register  
1617, street vendor  
1622, none  
1630, cashier  
1632, ride operator  
1636, teachers aide courtesy clerk  
1642, bartender bartender  bar manager bartender manager  
1644, carolina fontaine  
1646, sales associate sales associate  
1652, assistant sales counter assistant   
1654, special education teacher sales personred flower  
1660, associate high school teacher serverpool manager  
1666, crew member finance clerk crew member  
1667, receptionist inventory   
1671, hostess waiter cashier  
1672, linguist computer  cellphone services shop ownermanager  
1677, none  
1681, none  
1684, bareburger  
1686, none  
1691, arts and crafts instructor sales associate  
1692, cookcashier cater server  
1697, admissions coordinator  
1702, independent agent  
1711, dessert maker electrical trainne  
1717, assistent  
1722, none  
1723, barista server head waitress  
1729, barista community and content manager customer service specialist  
1736, none none  
1742, wine buyer captain managerbartender front of house manager  
1747, counselor sales associate assistant director  
1752,  cashier  
1754, intern   
1757, none  
1760, servingcleaning  
1766,    
1780, none  
1789, waiter none  
1791, none  
1800, barista  
1801, server deputy program manager hr professional server credit analyst  
1802, product manager contador  
1805, none  
1828, front desk agent peer advisor  
1833, clerkmeat dept.  
1847, server  
1856, painter  
1863, co founder teaching assistant research assistant  
1868, splicing technician project managerbusiness development  
1877,sales associate  sees candies  sunnyvaleregistration coordinator reeptionist front desk extern receptionist
1878, sales  
1881, none  
1888, assistant electrician  
1891, hostess sales associate  
1896, bar tender server  
1897, server server assistant manager  
1898, none none  
1906, station agent messenger warehouse worker
1912, server  
1916, crew member  
1924, none  
1929, salesgirl  
1932, spanish tutor  
1935, counter personserver sales associate student research assistant  
1937, none  
1955, community asst.  
1956, none  
1960, workshop artist explainer artist educator artist educator art teacher  
1962, college assistant at enrollment service centerassistant to president administrative assistant office assistantprocurement analysis case management assistant  
1974, in home care  
1977, oyaji restaurant  
1981, none none  
1983, data analysisentry storage organizer store cashier mail carrierdeliver  
1994, teen staff teen staff teen staff  
1995, none none  
2000, collector  
2005, sales person  internship at meridian gallery internship at percitia eyes art contract  
2007, translator   
2008, sales associate cleaning crew  
2011, waitress  
2012, assistant coordinator busser  
2016, secretary  office manager bartender  waitress  
2020, waitresscashier  
2022, none   
2023, associate custoer srvice officer client services officer associate  
2026, food service   
2038, busboy  
2049, cashier  
2055, entry level  
2059, operator  
2061, hostessserverbanquet mgr executor of estate serverhostessoffice  
2065, nonenoneny  
2069, care attendent chef line cook book keeper dishwasher server
2071,   customer service rep host server sales rep receptionist book keeper
2072,   book keeper server host receptionist sales rep customer service rep
2074, data scientist data scientist barista bartender customer service rep engineer ios developer  store manager japanese translator cfo
2075,driving partner  uber  san franciscomanager web developper manager line cook customer service rep server
2075,valet attendant  standard parking a sp company  san franciscomanager web developper manager line cook customer service rep server
2076,   receptionist customer service rep
2077, founder rotational project engineer office engineer cofounder server host barista bartender sales rep tutor customer service rep book keeper
2079, server server bartender
2081,   administration
2082, business development and innovation consultant business development and innovation director founder  operations director technical analyst web programmer and researcher application programmer  
2083, mentee engineer operations officer coo founder ceo founder bartender
2086,   
2087, business analyst sales rep
2090, web developer  
2091,   sales rep
2092, web developer web developer
2093, mba intern content  product solutions sales and marketing manager senior associate  sales and marketing  
2094,   executivemanufacturing book keeper
2095, value cleaner customer service rep
2097, loan service specialistloan consultant inside sales lead generator account executive inside sales representativetemp inside sales representative account executive independent distributor customer service rep receptionist sales rep
2098,   host receptionist book keeper customer service rep
2099,   receptionist server customer service rep sales rep book keeper host
2102, financial analyst  director of operations financial analyst manager cash management and banking office assistant manager cashiers office senior accounting clerk cashiers office accounts payable various positions book keeper customer service rep sales rep
2103,   sales rep customer service rep
2104, president supervisor  
2105,   customer service rep
2106,   server receptionist customer service rep sales rep marketing prevent planning bartender
2107,   project administrator finance receptionist book keeper customer service rep accounting manager
2108, office aide general labor customer service rep receptionist
2109, cashier server dishwasher sales rep host barista
2111, sales associate  
2114,   host receptionist customer service rep sales rep esthetician telemarketing
2115, salon manager receptionist server host barista dog walker
2116,   server
2117, extern production intern customer service studentathlete tutor light technician bus boy and customer service innercity tutor and mentor cinematographer office assistant late night with jimmy fallon   production intern news production intern tour guide book keeper customer service rep sales rep receptionist
2118, executive sec. to the v.p. receptionist customer service rep clerical data entry
2119, cashier    
2120, crew member customer service rep as well as interviewer presser finisher sales rep receptionist customer service rep
2122,   customer service rep
2124, nanny administrative work catering receptionist
2125, matrn  
2126,   customer service rep book keeper host server
2128, account manager sales support specialist adveritising intern
2129, sale representitive server host customer service rep sales rep
2131,   dishwasher
2132,    
2134,   customer service rep bartender receptionist sales rep
2135,   sales rep server barista book keeper customer service rep
2136,   dishwasher
2138, child care worker server dishwasher book keeper
2139,   customer service rep receptionist book keeper sales rep
2141, parttime deli staff volunteer work volunteer work staff crew member parttime t.a. volunteer for homecoming kickoff  volunteer work book keeper customer service rep sales rep receptionist
2142, shoneys  shift supervisor deli associate work from home positions
2144,   receptionist
2145,   line cook tourism barista cook assistant bartender host
2146,   customer service rep
2147, service clerk hr manager receptionist book keeper customer service rep sales rep
2148,   server host customer service rep
2155,   sales rep customer service rep dishwasher barista host server
2156, customer service representative specimen processing technician late day teacher summer intern sales associate care provider intern  phlebotomist customer service rep receptionist barista
2157,   barista chef line cook server host
2158,   sales rep customer service rep
2160, marketing director and account executive account executive account executive new business development account executive sales representative sales rep receptionist customer service rep
2161, dish washer general labor dishwasher
2163,   junior engineer  
2166,   student sales rep
2167,   filing clerical customer service rep receptionist
2169, bookkeeper fullcharge bookkeeper accountant fullcharge bookkeeper accounts payable specialist book keeper
2171, consutora  
2174, costume production assistant costume production assistant costume production assistant costume intern costume production assistant costume intern costume intern creative intern first hand and stitcher  
2175, sr.quality analyst  
2183,    
2186,    
2188, quantitative developer quant developer quantitative analyst intern intern intern quant developer  
2191, hospitality staff hospitality staff  
2192, accounts manager senior accountant ap accountant  
2193, general manager tutor host receptionist book keeper sales rep barista line cook accounting  auditor tutor aupair
2194,   tech support  
2196,    
2198, client service specialist personal and small business banker customer service and night auditor sales and client support center for academic support and advising  peer  general ed. tutor research intern  
2201, cashier summer intern assistant crew coach  
2206, defensa  
2208, graduate student  
2210, internship  
2211,      
2212,    
2214, business development manager senior recruitment consultant employment consultant  
2221,movie extras actors and models wanted in new york ny. part time or full time.  casting  new york   
2222, residence community coordinator coordinator for residential life programming associate director for university housing  residence life senior consultant assistant resident director associate director of programs and marketing coordinator for residence hall student conduct assistant residence community coordinator assistant residence community coordinator  
2223,   vista corps member   program evaluator volunteer student  
2225, vice president internship volunteer account executive master project researcher account executive  
2226, student  
2228,   sales rep host receptionist customer service rep
2229, data entry jr. graphic designer intern photographer graphic designer assistant marketing director graphic design editor parttime secretary graphic artist administrative assistant  
2230, it director it manager software developer business strategy it consultant
2231,    
2232,   dishwasher server
2233, car detaler sales rep customer service rep bartender dishwasher server
2234, billing representative receptionist host medical biller
2235,   administrative assistant 
2236,   sales associate  receptionist
2237,   customer service rep
2238, sales associate  receptionist  medical secretary customer service rep server host barista receptionist
2239, development intern sales associate summer camp counselor waiter teachers associate customer service rep bartender receptionist
2240,   business development biotech marketing biotech
2241, hha customer service rep receptionist
2242, firefighter  
2244,    
2245, office work housekeeper
2246,    
2247, associate content editor  sports sports writer marketing writer freelance copy editorproject manager editorinchief marketing assistant freelance sports writer staff writer  
2248, correctional officer server customer service rep dishwasher barista host receptionist
2249, office manager office manager it manager project information management coordinator ps  alliance group technology senior document control book keeper host customer service rep document control
2250, canteen helper clerk  sales rep office clerk server host receptionist customer service rep
2251,   english tutor proofreadereditor parttime teacher
2252, spanish tutor hha  
2254, teacher ceo  founder supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  supervisor adminstration  sales rep supervisor adminstration  supervisor adminstration 
2257,   lifeguard  
2258, brand partner  
2259,   server dishwasher customer service rep
2262, team member server receptionist line cook dishwasher
2263, independant consultant customer service rep receptionist sales rep
2264, pressman driver pressman
2265, packing shed  server host cashier 
2267,   dishwasher barista server host
2268,   receptionist customer service rep
2270,   book keeper
2271, receptionist work supervisor aide bulk mailing clerk receptionist fleet vehicle manager cartridge production assistant cashier general office assistant receptionist customer service rep
2272, staff nurse   staff nurse sales rep customer service rep book keeper barista line cook dishwasher host receptionist server
2273,   receptionist customer service rep sales rep
2275,   server special ed. teachers aide residential manager residential manager
2276,    
2277,   babysitting
2278, rapper producer casher  
2279,   cashier customer service rep receptionist dishwasher
2280,   book keeper customer service rep office
2281, sales rep home care aide receptionist customer service rep
2282, database administrator receptionist book keeper customer service rep
2283, salon upkeep  teacher help salon upkeep  sales rep customer service rep book keeper dishwasher line cook host receptionist server
2285, maintenance technician bartender receptionist customer service rep
2287,   server dishwasher sales rep stocking
2288, cashier sacker. stocker store closing manager office worker server sales rep
2289,   book keeper biology or chemistry laboratory
2290,   cashier
2291, night supervisor in the distribution department warehouse fork lift operator anything production related
2292,   book keeper financial professional financial assistant entry level financial analysis
2295,   sales rep host book keeper server
2297,   server stors customer service rep sales rep dishwasher
2298,    
2300,   customer service rep receptionist book keeper
2301, sales associate receptionist book keeper customer service rep sales rep
2303,   sales rep customer service rep book keeper receptionist line cook bartender dishwasher barista host server chef
2304,   book keeper sales rep receptionist rahim yar khan line cook chef host customer service rep dishwasher bartender barista
2305,   host bartender receptionist customer service rep sales rep
2307,    
2309,   host book keeper customer service rep
2310,     product sales specialist dishwasher sales rep
2311,   sales rep customer service rep dishwasher host receptionist server
2312, environmental control support specialist store keeper stock room material handler
2313, sonar technician surface stgsw stgsw rides operator  
2314,   merchandiser
2315,   aramark housekeeping supervisor customer service rep housekeeper
2318, sr patient account rep receptionist book keeper customer service rep
2319,   coordinator customer service rep sales rep
2321,   customer service rep
2322,   server receptionist customer service rep
2323,    
2326, sales associate barista administrative assistant  host sales rep receptionist assistant
2328,   host customer service rep sales rep
2331, real estate broker server host dishwasher health care laundry man
2332,   book keeper
2333, hospital corpsman hospital corpsman medical officer  
2334, work study box ticket  concession cashier cashier cashier cashier
2335,   electrical officer  
2337, cashier cleaner on the floor walmart
2340, supply chain management intern colts pro shop sales associate animal care technician animal care intern undergrad research assistant wildlife services intern ride operator and concessions  
2341,   server receptionist customer service rep
2342, retired receptionist customer service rep concierge nursery
2343,   data entry web content writer receptionist customer service rep
2345,   secretary  receptionist customer service rep book keeper sales rep
2347, personal assistant personal assistant  
2348,    
2349,   dishwasher
2351, salesman server host
2352, director of operations quality manager manager  configuration management and training investigative data warehouse fbi program sr. conference  business manager sr. meeting  training coordinator customer service rep night manager
2353, administrative assistant legal secretary receptionist customer service rep office manager store retail
2354,   medical biller customer service rep receptionist
2355,   receptionist book keeper
2358,   receptionist customer service rep
2360,   dishwasher
2361, custodial custodial
2362,movie extras actors and models wanted in peoria az. part time or full time.  casting  peoria  driver janitor
